flag,gemini-3-pro-preview-maxthinking-gcli.csv,glm-4.6.csv,gemini-2.5-pro-maxthinking-gcli.csv,kimi-k2-thinking.csv,doubao.csv,qwen3-max.csv,deepseek-reasoner.csv,voted_category,confidence
concurrent-marking,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
concurrent-marking-high-priority-threads,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
concurrent-marking-max-worker-num,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
concurrent-minor-ms-marking,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
concurrent-osr,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,1.00
concurrent-recompilation,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,1.00
concurrent-recompilation-delay,Compiler/Tier Manager,Testing/Fuzzing,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,0.71
concurrent-recompilation-front-running,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,1.00
concurrent-recompilation-queue-length,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,1.00
concurrent-sparkplug,Sparkplug,Sparkplug,Sparkplug,Sparkplug,Sparkplug,Sparkplug,Sparkplug,Sparkplug,1.00
concurrent-sparkplug-high-priority-threads,Sparkplug,Sparkplug,Sparkplug,Sparkplug,Sparkplug,Sparkplug,Sparkplug,Sparkplug,1.00
concurrent-sparkplug-max-threads,Sparkplug,Sparkplug,Sparkplug,Sparkplug,Sparkplug,Sparkplug,Sparkplug,Sparkplug,1.00
concurrent-sweeping,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
concurrent-turbo-tracing,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,1.00
concurrent-turbofan-max-threads,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,1.00
conservative-stack-scanning,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
correctness-fuzzer-suppressions,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,1.00
cppgc-random-gc-interval,GC/Memory,Testing/Fuzzing,GC/Memory,GC/Memory,Testing/Fuzzing,GC/Memory,GC/Memory,GC/Memory,0.43
cppgc-young-generation,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
cppheap-concurrent-marking,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
cppheap-incremental-marking,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
cpu-profiler-sampling-interval,Trace/Debug,Print,Trace/Debug,Trace/Debug,Debug,Trace/Debug,Generic,Trace/Debug,0.43
csa-trap-on-node,Trace/Debug,Turbofan,Trace/Debug,Trace/Debug,Debug,Turbofan,Turbofan,Trace/Debug,0.00
debug-code,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Debug,Generic,Generic,Trace/Debug,0.29
decommit-pooled-pages,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
deduplicate-heap-number-requests,Optimization,Data,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,0.71
default-to-experimental-regexp-engine,Language mode/features,Language mode/features,Optimization,Language mode/features,Optimization,Compiler/Tier Manager,Optimization,Language mode/features,0.00
deopt-every-n-times,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,1.00
detailed-error-stack-trace,Trace/Debug,Print,Trace/Debug,Trace/Debug,Debug,Trace/Debug,Language mode/features,Trace/Debug,0.43
detailed-line-info,Trace/Debug,Print,Trace/Debug,Trace/Debug,Debug,Trace/Debug,Generic,Trace/Debug,0.43
detect-ineffective-gcs-near-heap-limit,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
dict-property-const-tracking,Data,Optimization,Optimization,Data,Optimization,Optimization,Optimization,Optimization,0.43
direct-handle,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
disable-abortjs,Generic,Generic,Generic,Generic,Generic,GC/Memory,Generic,Generic,0.71
disable-optimizing-compilers,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,1.00
disable-write-barriers,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
disallow-code-generation-from-strings,Generic,Generic,Generic,Generic,Generic,Security,Language mode/features,Generic,0.57
disallow-unsafe-flags,Generic,Generic,Generic,Generic,Generic,Security,Generic,Generic,0.71
double-string-cache-size,Data,Data,Data,Data,Data,Data,Data,Data,1.00
dump-allocations-digest-at-alloc,GC/Memory,Testing/Fuzzing,Trace/Debug,GC/Memory,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.29
dump-builtins-hashes-to-file,Compiler/Tier Manager,Compiler/Tier Manager,,Compiler/Tier Manager,Data,Print,Turbofan,Compiler/Tier Manager,0.33
dump-wasm-module,Wasm,Wasm,Wasm,Wasm,Print,Wasm,Wasm,Wasm,0.71
dump-wasm-module-path,Wasm,Wasm,Wasm,Wasm,Data,Print,Wasm,Wasm,0.57
efficiency-mode,Generic,Generic,Generic,Generic,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Generic,0.14
efficiency-mode-delay-turbofan-multiply,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,1.00
efficiency-mode-disable-turbofan,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,1.00
embedded-src,Compiler/Tier Manager,Compiler/Tier Manager,,Compiler/Tier Manager,Data,Print,Generic,Compiler/Tier Manager,0.33
embedded-variant,Compiler/Tier Manager,Compiler/Tier Manager,,Compiler/Tier Manager,Data,Print,Generic,Compiler/Tier Manager,0.33
empty-context-extension-dep,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,1.00
enable-32dregs,Generic,Generic,,Generic,Data,Generic,Data,Generic,0.33
enable-allocation-folding,GC/Memory,GC/Memory,Optimization,GC/Memory,Optimization,Optimization,GC/Memory,GC/Memory,0.14
enable-armv7,Generic,Generic,,Generic,Data,Generic,Data,Generic,0.33
enable-armv8,Generic,Generic,,Generic,Data,Generic,Data,Generic,0.33
enable-avx,Generic,Generic,,Generic,Data,Generic,Data,Generic,0.33
enable-avx-vnni,Generic,Generic,,Generic,Data,Generic,Data,Generic,0.33
enable-avx-vnni-int8,Generic,Generic,,Generic,Data,Generic,Data,Generic,0.33
enable-avx2,Generic,Generic,,Generic,Data,Generic,Data,Generic,0.33
enable-bmi1,Generic,Generic,,Generic,Data,Generic,Data,Generic,0.33
enable-bmi2,Generic,Generic,,Generic,Data,Generic,Data,Generic,0.33
enable-bytecode-compiler-ablation,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,1.00
enable-enumerated-keyed-access-bytecode,Language mode/features,Ignition,Ignition,Language mode/features,Optimization,Optimization,Ignition,Ignition,0.14
enable-etw-by-custom-filter-only,Trace/Debug,Print,Trace/Debug,Trace/Debug,Debug,Trace/Debug,Generic,Trace/Debug,0.43
enable-etw-stack-walking,Trace/Debug,Print,Trace/Debug,Trace/Debug,Debug,Trace/Debug,Generic,Trace/Debug,0.43
enable-experimental-regexp-engine,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Optimization,Language mode/features,Optimization,Language mode/features,0.43
enable-experimental-regexp-engine-on-excessive-backtracks,Language mode/features,Language mode/features,Optimization,Language mode/features,Optimization,Compiler/Tier Manager,Optimization,Language mode/features,0.00
enable-f16c,Generic,Generic,,Generic,Data,Generic,Data,Generic,0.33
enable-fma3,Generic,Generic,,Generic,Data,Generic,Data,Generic,0.33
enable-lazy-source-positions,Compiler/Tier Manager,Compiler/Tier Manager,Ignition,Compiler/Tier Manager,Ignition,Compiler/Tier Manager,Ignition,Compiler/Tier Manager,0.14
enable-lzcnt,Generic,Generic,,Generic,Data,Generic,Data,Generic,0.33
enable-neon,Generic,Generic,,Generic,Data,Generic,Data,Generic,0.33
enable-parser-ablation,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,1.00
enable-popcnt,Generic,Generic,,Generic,Data,Generic,Data,Generic,0.33
enable-preparser-ablation,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,1.00
enable-regexp-unaligned-accesses,Generic,Optimization,Optimization,Generic,Optimization,Optimization,Optimization,Optimization,0.43
enable-sahf,Generic,Generic,,Generic,Data,Generic,Data,Generic,0.33
enable-sharedarraybuffer-per-context,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Data,Language mode/features,Language mode/features,Language mode/features,0.71
enable-slow-asserts,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Generic,Testing/Fuzzing,0.71
enable-source-at-csa-bind,Trace/Debug,Compiler/Tier Manager,Trace/Debug,Trace/Debug,Data,Generic,Data,Trace/Debug,0.14
enable-sse3,Generic,Generic,,Generic,Data,Generic,Data,Generic,0.33
enable-sse4-1,Generic,Generic,,Generic,Data,Generic,Data,Generic,0.33
enable-sse4-2,Generic,Generic,,Generic,Data,Generic,Data,Generic,0.33
enable-ssse3,Generic,Generic,,Generic,Data,Generic,Data,Generic,0.33
enable-sudiv,Generic,Generic,,Generic,Data,Generic,Data,Generic,0.33
enable-testing-opcode-in-wasm,Wasm,Testing/Fuzzing,Wasm,Wasm,Testing/Fuzzing,Wasm,Wasm,Wasm,0.43
enable-unconditional-write-barriers,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
enable-vfp3,Generic,Generic,,Generic,Data,Generic,Data,Generic,0.33
ephemeron-fixpoint-iterations,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
etw-trace-debug,Trace/Debug,Print,Trace/Debug,Trace/Debug,Debug,Trace/Debug,Generic,Trace/Debug,0.43
exit-on-contradictory-flags,Generic,Generic,Generic,Generic,Generic,Generic,Generic,Generic,1.00
experimental,Generic,Generic,Generic,Generic,Generic,Generic,Generic,Generic,1.00
experimental-embedder-instance-types,Generic,Generic,Generic,Generic,Generic,Generic,Language mode/features,Generic,0.71
experimental-flush-embedded-blob-icache,Generic,Testing/Fuzzing,Generic,Generic,Testing/Fuzzing,GC/Memory,Generic,Generic,0.29
experimental-fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,1.00
experimental-regexp-engine-capture-group-opt,Optimization,Language mode/features,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,0.71
experimental-regexp-engine-capture-group-opt-max-memory-usage,GC/Memory,Language mode/features,Optimization,GC/Memory,Optimization,GC/Memory,Optimization,GC/Memory,0.00
experimental-report-exceptions-from-callbacks,Generic,Generic,Generic,Generic,Generic,Generic,Generic,Generic,1.00
experimental-stack-trace-frames,Trace/Debug,Generic,Trace/Debug,Trace/Debug,Debug,Trace/Debug,Generic,Trace/Debug,0.29
experimental-wasm-assume-ref-cast-succeeds,Wasm,Testing/Fuzzing,Wasm,Wasm,Testing/Fuzzing,Wasm,Wasm,Wasm,0.43
experimental-wasm-branch-hinting,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
experimental-wasm-compilation-hints,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
experimental-wasm-custom-descriptors,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
experimental-wasm-exnref,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
experimental-wasm-fp16,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
experimental-wasm-growable-stacks,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
experimental-wasm-imported-strings-utf8,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
experimental-wasm-instruction-tracing,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
experimental-wasm-js-interop,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
experimental-wasm-legacy-eh,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
experimental-wasm-memory-control,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
experimental-wasm-pgo-from-file,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
experimental-wasm-pgo-to-file,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
experimental-wasm-rab-integration,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
experimental-wasm-ref-cast-nop,Wasm,Testing/Fuzzing,Wasm,Wasm,Testing/Fuzzing,Wasm,Wasm,Wasm,0.43
experimental-wasm-revectorize,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
experimental-wasm-shared,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
experimental-wasm-skip-bounds-checks,Wasm,Testing/Fuzzing,Wasm,Wasm,Testing/Fuzzing,Wasm,Wasm,Wasm,0.43
experimental-wasm-skip-null-checks,Wasm,Testing/Fuzzing,Wasm,Wasm,Testing/Fuzzing,Wasm,Wasm,Wasm,0.43
experimental-wasm-stringref,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
experimental-wasm-type-reflection,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
experimental-wasm-wasmfx,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
expose-async-hooks,Generic,Print,Generic,Generic,Generic,Language mode/features,Generic,Generic,0.57
expose-cputracemark-as,Trace/Debug,Print,Generic,Trace/Debug,Generic,Trace/Debug,Generic,Trace/Debug,0.00
expose-externalize-string,Testing/Fuzzing,Print,Generic,Testing/Fuzzing,Generic,Language mode/features,Generic,Generic,0.14
expose-gc,Testing/Fuzzing,Print,Generic,Testing/Fuzzing,Generic,GC/Memory,Generic,Generic,0.14
expose-gc-as,Testing/Fuzzing,Print,Generic,Testing/Fuzzing,Generic,GC/Memory,Generic,Generic,0.14
expose-ignition-statistics,Ignition,Ignition,Ignition,Ignition,Generic,Trace/Debug,Generic,Ignition,0.29
expose-inspector-scripts,Trace/Debug,Print,Trace/Debug,Trace/Debug,Debug,Trace/Debug,Generic,Trace/Debug,0.43
expose-memory-corruption-api,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,1.00
expose-statistics,Testing/Fuzzing,Print,Generic,Testing/Fuzzing,Generic,Trace/Debug,Generic,Generic,0.14
expose-trigger-failure,Testing/Fuzzing,Print,Generic,Testing/Fuzzing,Generic,Testing/Fuzzing,Generic,Testing/Fuzzing,0.00
extensible-ro-snapshot,Data,GC/Memory,GC/Memory,Data,Data,GC/Memory,GC/Memory,GC/Memory,0.14
external-memory-accounted-in-global-limit,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
external-memory-max-growing-factor,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
external-reference-stats,Trace/Debug,Compiler/Tier Manager,Print,Trace/Debug,Print,Trace/Debug,Trace/Debug,Trace/Debug,0.29
fast-api-allow-float-in-sim,Turbofan,Turbofan,,Turbofan,Testing/Fuzzing,Turbofan,Turbofan,Turbofan,0.67
fast-map-update,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,1.00
fast-properties-soft-limit,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,1.00
feedback-normalization,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,1.00
fixed-array-bounds-checks,Generic,Optimization,Optimization,Generic,Optimization,GC/Memory,Turbofan,Optimization,0.14
flush-baseline-code,Sparkplug,Compiler/Tier Manager,GC/Memory,Sparkplug,Optimization,GC/Memory,GC/Memory,GC/Memory,0.14
flush-bytecode,Ignition,Compiler/Tier Manager,GC/Memory,Ignition,Optimization,GC/Memory,GC/Memory,GC/Memory,0.14
flush-code-based-on-tab-visibility,Compiler/Tier Manager,Compiler/Tier Manager,GC/Memory,Compiler/Tier Manager,Optimization,GC/Memory,GC/Memory,Compiler/Tier Manager,0.00
flush-code-based-on-time,Compiler/Tier Manager,Compiler/Tier Manager,GC/Memory,Compiler/Tier Manager,Optimization,GC/Memory,GC/Memory,Compiler/Tier Manager,0.00
flush-liftoff-code,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
for-of-optimization,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,1.00
force-emit-interrupt-budget-checks,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,1.00
force-long-branches,Generic,Generic,,Generic,Data,Generic,Data,Generic,0.33
force-memory-protection-keys,GC/Memory,Compiler/Tier Manager,GC/Memory,GC/Memory,Data,GC/Memory,GC/Memory,GC/Memory,0.57
force-slow-path,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Compiler/Tier Manager,Optimization,Testing/Fuzzing,0.57
freeze-flags-after-init,Generic,Generic,Generic,Generic,Generic,Generic,Generic,Generic,1.00
function-context-cells,Data,Optimization,Optimization,Data,Optimization,Optimization,Optimization,Optimization,0.43
