参数名,分类
--trace-track-allocation-sites,Trace/Debug
--trace-migration,Trace/Debug
--trace-generalization,Trace/Debug
--reuse-scope-infos,Optimization
--sparkplug,Sparkplug
--always-sparkplug,Sparkplug
--baseline-batch-compilation,Sparkplug
--concurrent-sparkplug,Sparkplug
--concurrent-sparkplug-max-threads,Sparkplug
--concurrent-sparkplug-high-priority-threads,Sparkplug
--sparkplug-filter,Sparkplug
--sparkplug-needs-short-builtins,Sparkplug
--baseline-batch-compilation-threshold,Sparkplug
--trace-baseline,Trace/Debug
--trace-baseline-batch-compilation,Trace/Debug
--shared-strings,Data
--shared-string-table,Data
--always-use-string-forwarding-table,Data
--transition-strings-during-gc-with-stack,GC/Memory
--initial-shared-heap-size,GC/Memory
--max-shared-heap-size,GC/Memory
--concurrent-builtin-generation,Compiler/Tier Manager
--concurrent-recompilation,Compiler/Tier Manager
--trace-concurrent-recompilation,Trace/Debug
--concurrent-recompilation-queue-length,Compiler/Tier Manager
--concurrent-recompilation-delay,Compiler/Tier Manager
--concurrent-recompilation-front-running,Compiler/Tier Manager
--concurrent-turbofan-max-threads,Turbofan
--stress-concurrent-inlining,Testing/Fuzzing
--maglev-overwrite-budget,Maglev
--maglev-overwrite-osr-budget,Maglev
--stress-concurrent-inlining-attach-code,Testing/Fuzzing
--max-serializer-nesting,Generic
--trace-heap-broker-verbose,Trace/Debug
--trace-heap-broker,Trace/Debug
--stress-runs,Testing/Fuzzing
--deopt-every-n-times,Testing/Fuzzing
--print-deopt-stress,Print
--turbofan,Turbofan
--opt,Turbofan
--stress-turbo-late-spilling,Testing/Fuzzing
--turbo-wasm-address-reassociation,Wasm
--concurrent-turbo-tracing,Turbofan
--optimize-maglev-optimizes-to-turbofan,Compiler/Tier Manager
--turbo-filter,Turbofan
--trace-turbo,Trace/Debug
--trace-turbo-path,Trace/Debug
--trace-turbo-filter,Trace/Debug
--trace-turbo-graph,Trace/Debug
--trace-turbo-scheduled,Trace/Debug
--trace-turbo-file-prefix,Trace/Debug
--trace-turbo-cfg-file,Trace/Debug
--trace-turbo-types,Trace/Debug
--trace-turbo-scheduler,Trace/Debug
--trace-turbo-reduction,Trace/Debug
--trace-turbo-bailouts,Trace/Debug
--trace-turbo-trimming,Trace/Debug
--trace-turbo-jt,Trace/Debug
--trace-turbo-ceq,Trace/Debug
--trace-turbo-loop,Trace/Debug
--trace-turbo-alloc,Trace/Debug
--trace-all-uses,Trace/Debug
--trace-representation,Trace/Debug
--trace-turbo-stack-accesses,Trace/Debug
--fuzzing-and-concurrent-recompilation,Testing/Fuzzing
--turbo-verify,Turbofan
--turbo-verify-machine-graph,Turbofan
--verify-csa,Testing/Fuzzing
--trace-verify-csa,Trace/Debug
--csa-trap-on-node,Trace/Debug
--builtins-effects-src,
--fixed-array-bounds-checks,Optimization
--turbo-stats,Print
--turbo-stats-nvp,Print
--turbo-stats-wasm,Wasm
--turbo-splitting,Turbofan
--turbo-inlining,Turbofan
--turbo-elide-frames,Turbofan
--max-inlined-bytecode-size,Turbofan
--max-inlined-bytecode-size-cumulative,Turbofan
--max-turbolev-inlined-bytecode-size-cumulative,Turbolev
--max-inlined-bytecode-size-absolute,Turbofan
--max-inlined-bytecode-size-small-total,Turbofan
--reserve-inline-budget-scale-factor,Turbofan
--max-inlined-bytecode-size-small,Turbofan
--max-inlined-bytecode-size-small-with-heapnum-in-out,Turbofan
--max-optimized-bytecode-size,Turbofan
--min-inlining-frequency,Turbofan
--stress-inline,Testing/Fuzzing
--trace-turbo-inlining,Trace/Debug
--turbo-inline-array-builtins,Turbofan
--use-osr,Compiler/Tier Manager
--maglev-osr,Compiler/Tier Manager
--concurrent-osr,Compiler/Tier Manager
--maglev-allocation-folding,Maglev
--maglev-escape-analysis,Maglev
--trace-maglev-escape-analysis,Trace/Debug
--maglev-object-tracking,Maglev
--trace-maglev-object-tracking,Trace/Debug
--turbo-string-builder,Turbofan
--trace-osr,Trace/Debug
--log-or-trace-osr,Trace/Debug
--analyze-environment-liveness,Optimization
--trace-environment-liveness,Trace/Debug
--turbo-load-elimination,Turbofan
--trace-turbo-load-elimination,Trace/Debug
--turbo-profiling,Turbofan
--turbo-profiling-verbose,Turbofan
--turbo-profiling-output,Turbofan
--reorder-builtins,Optimization
--abort-on-bad-builtin-profile-data,
--warn-about-builtin-profile-data,
--dump-builtins-hashes-to-file,
--turbo-verify-allocation,Turbofan
--turbo-move-optimization,Turbofan
--turbo-jt,Turbofan
--turbo-loop-peeling,Turbofan
--turbo-loop-variable,Turbofan
--turbo-loop-rotation,Turbofan
--turbo-cf-optimization,Turbofan
--turbo-escape,Turbofan
--turbo-allocation-folding,Turbofan
--turbo-instruction-scheduling,Turbofan
--turbo-stress-instruction-scheduling,Testing/Fuzzing
--turbo-store-elimination,Turbofan
--trace-store-elimination,Trace/Debug
--turbo-typer-hardening,Turbofan
--turbo-rewrite-far-jumps,Turbofan
--stress-gc-during-compilation,Testing/Fuzzing
--turbo-fast-api-calls,Turbofan
--fast-api-allow-float-in-sim,
--turbo-compress-frame-translations,Turbofan
--turbo-inline-js-wasm-calls,Turbofan
--turbo-optimize-inlined-js-wasm-wrappers,Turbofan
--turbo-optimize-apply,Turbofan
--turbo-optimize-math-minmax,Turbofan
--turboshaft,Turboshaft
--turboshaft-enable-debug-features,Turboshaft
--turboshaft-wasm-load-elimination,Turboshaft
--turboshaft-wasm-in-js-inlining,Turboshaft
--turbolev-inline-js-wasm-wrappers,Turbolev
--turboshaft-load-elimination,Turboshaft
--turboshaft-loop-unrolling,Turboshaft
--turboshaft-string-concat-escape-analysis,Turboshaft
--turboshaft-typed-optimizations,Turboshaft
--turbolev,Turbolev
--print-turbolev-frontend,Print
--turbolev-future,Turbolev
--typed-array-length-loading,Optimization
--deduplicate-heap-number-requests,Optimization
--turboshaft-verify-load-elimination,Turboshaft
--turboshaft-opt-bisect-limit,Turboshaft
--turboshaft-opt-bisect-break,Turboshaft
--turboshaft-verify-reductions,Turboshaft
--turboshaft-trace-typing,Trace/Debug
--turboshaft-trace-reduction,Trace/Debug
--turboshaft-trace-intermediate-reductions,Trace/Debug
--turboshaft-trace-emitted,Trace/Debug
--turboshaft-trace-unrolling,Trace/Debug
--turboshaft-trace-peeling,Trace/Debug
--turboshaft-trace-load-elimination,Trace/Debug
--turboshaft-trace-if-else-to-switch,Trace/Debug
--trace-turbolev-graph-building,Trace/Debug
--profile-guided-optimization,Optimization
--profile-guided-optimization-for-empty-feedback-vector,Optimization
--invocation-count-for-early-optimization,Compiler/Tier Manager
--invocation-count-for-maglev-with-delay,Compiler/Tier Manager
--optimize-for-size,Optimization
--reopt-after-lazy-deopts,Optimization
--verify-get-js-builtin-state,Testing/Fuzzing
--wasm-generic-wrapper,Wasm
--wasm-num-compilation-tasks,Wasm
--trace-wasm-native-heap,Wasm
--trace-wasm-offheap-memory,Wasm
--print-wasm-offheap-memory-size,Wasm
--trace-wasm-serialization,Wasm
--wasm-async-compilation,Wasm
--wasm-test-streaming,Wasm
--wasm-native-module-cache,Wasm
--wasm-max-mem-pages,Wasm
--wasm-max-table-size,Wasm
--wasm-max-committed-code-mb,Wasm
--wasm-max-code-space-size-mb,Wasm
--wasm-tier-up,Wasm
--wasm-dynamic-tiering,Wasm
--wasm-sync-tier-up,Wasm
--wasm-tiering-budget,Wasm
--wasm-wrapper-tiering-budget,Wasm
--max-wasm-functions,Wasm
--wasm-caching-threshold,Wasm
--wasm-caching-hard-threshold,Wasm
--wasm-caching-timeout-ms,Wasm
--trace-wasm-compilation-times,Wasm
--wasm-tier-up-filter,Wasm
--wasm-eager-tier-up-function,Wasm
--trace-wasm-decoder,Wasm
--trace-wasm-compiler,Wasm
--trace-wasm-streaming,Wasm
--trace-wasm-stack-switching,Wasm
--stress-wasm-stack-switching,Wasm
--wasm-stack-switching-stack-size,Wasm
--liftoff,Wasm
--liftoff-only,Wasm
--enable-testing-opcode-in-wasm,Wasm
--trace-liftoff,Wasm
--trace-wasm-memory,Wasm
--trace-wasm-globals,Wasm
--wasm-tier-mask-for-testing,Wasm
--wasm-debug-mask-for-testing,Wasm
--experimental-wasm-pgo-to-file,Wasm
--experimental-wasm-pgo-from-file,Wasm
--validate-asm,Wasm
--suppress-asm-messages,Wasm
--trace-asm-time,Wasm
--trace-asm-scanner,Wasm
--trace-asm-parser,Wasm
--stress-validate-asm,Wasm
--dump-wasm-module,Wasm
--dump-wasm-module-path,Wasm
--wasm-fast-api,Wasm
--wasm-assert-types,Wasm
--wasm-deopt,Wasm
--wasm-deopts-per-function-limit,Wasm
--experimental-wasm-type-reflection,Wasm
--experimental-wasm-instruction-tracing,Wasm
--experimental-wasm-shared,Wasm
--experimental-wasm-fp16,Wasm
--experimental-wasm-memory-control,Wasm
--experimental-wasm-wasmfx,Wasm
--experimental-wasm-compilation-hints,Wasm
--experimental-wasm-growable-stacks,Wasm
--experimental-wasm-custom-descriptors,Wasm
--experimental-wasm-stringref,Wasm
--experimental-wasm-imported-strings-utf8,Wasm
--experimental-wasm-rab-integration,Wasm
--experimental-wasm-legacy-eh,Wasm
--experimental-wasm-branch-hinting,Wasm
--experimental-wasm-exnref,Wasm
--experimental-wasm-assume-ref-cast-succeeds,Wasm
--experimental-wasm-ref-cast-nop,Wasm
--experimental-wasm-skip-null-checks,Wasm
--experimental-wasm-skip-bounds-checks,Wasm
--experimental-wasm-js-interop,Wasm
--wasm-staging,Wasm
--wasm-opt,Wasm
--wasm-bounds-checks,Wasm
--wasm-stack-checks,Wasm
--wasm-enforce-bounds-checks,Wasm
--wasm-math-intrinsics,Wasm
--wasm-inlining,Wasm
--wasm-inlining-budget,Wasm
--wasm-inlining-max-size,Wasm
--wasm-inlining-factor,Wasm
--wasm-inlining-min-budget,Wasm
--wasm-inlining-ignore-call-counts,Wasm
--trace-wasm-inlining,Wasm
--trace-wasm-typer,Wasm
--trace-wasm-simd-shuffle,Wasm
--wasm-inlining-call-indirect,Wasm
--wasm-bulkmem-inlining,Wasm
--wasm-loop-unrolling,Wasm
--wasm-loop-peeling,Wasm
--wasm-loop-peeling-max-size,Wasm
--trace-wasm-loop-peeling,Wasm
--wasm-fuzzer-gen-test,Wasm
--print-wasm-code,Wasm
--print-wasm-code-function-index,Wasm
--print-wasm-stub-code,Wasm
--asm-wasm-lazy-compilation,Wasm
--wasm-lazy-compilation,Wasm
--trace-wasm-lazy-compilation,Wasm
--wasm-lazy-validation,Wasm
--wasm-simd-ssse3-codegen,Wasm
--wasm-code-gc,Wasm
--trace-wasm-code-gc,Wasm
--stress-wasm-code-gc,Wasm
--wasm-max-initial-code-space-reservation,Wasm
--stress-wasm-memory-moving,Wasm
--flush-liftoff-code,Wasm
--stress-branch-hinting,Wasm
--wasm-max-module-size,Wasm
--wasm-disassembly-max-mb,Wasm
--wasm-capi-thread-pool-size,Wasm
--trace-wasm,Wasm
--trace-wasm-instances,Wasm
--experimental-wasm-revectorize,Wasm
--trace-wasm-revectorize,Wasm
--wasm-memory64-trap-handling,Wasm
--wasm-jitless,Wasm
--wasm-jitless-if-available-for-testing,Wasm
--wasm-allow-mixed-eh-for-testing,Wasm
--wasm-code-coverage,Wasm
--stress-sampling-allocation-profiler,Testing/Fuzzing
--lazy-new-space-shrinking,GC/Memory
--min-semi-space-size,GC/Memory
--max-semi-space-size,GC/Memory
--semi-space-growth-factor,GC/Memory
--max-old-space-size,GC/Memory
--max-heap-size,GC/Memory
--initial-heap-size,GC/Memory
--initial-old-space-size,GC/Memory
--preconfigured-old-space-size,GC/Memory
--gc-global,GC/Memory
--random-gc-interval,GC/Memory
--gc-interval,GC/Memory
--cppgc-random-gc-interval,GC/Memory
--retain-maps-for-n-gc,GC/Memory
--trace-gc,Trace/Debug
--trace-gc-nvp,Trace/Debug
--trace-gc-ignore-scavenger,Trace/Debug
--trace-memory-reducer,Trace/Debug
--trace-gc-verbose,Trace/Debug
--trace-gc-freelists,Trace/Debug
--trace-gc-freelists-verbose,Trace/Debug
--trace-gc-heap-layout,Trace/Debug
--trace-gc-heap-layout-ignore-minor-gc,Trace/Debug
--trace-evacuation-candidates,Trace/Debug
--trace-pending-allocations,Trace/Debug
--trace-allocation-stack-interval,Trace/Debug
--trace-duplicate-threshold-kb,Trace/Debug
--trace-fragmentation,Trace/Debug
--trace-fragmentation-verbose,Trace/Debug
--minor-ms-trace-fragmentation,Trace/Debug
--trace-evacuation,Trace/Debug
--trace-mutator-utilization,Trace/Debug
--incremental-marking,GC/Memory
--incremental-marking-task,GC/Memory
--incremental-marking-soft-trigger,GC/Memory
--incremental-marking-hard-trigger,GC/Memory
--incremental-marking-unified-schedule,GC/Memory
--trace-unmapper,Trace/Debug
--parallel-scavenge,GC/Memory
--minor-gc-task,GC/Memory
--minor-gc-task-trigger,GC/Memory
--minor-gc-task-with-lower-priority,GC/Memory
--trace-parallel-scavenge,Trace/Debug
--cppgc-young-generation,GC/Memory
--optimize-gc-for-battery,GC/Memory
--concurrent-marking,GC/Memory
--concurrent-marking-max-worker-num,GC/Memory
--concurrent-array-buffer-sweeping,GC/Memory
--stress-concurrent-allocation,Testing/Fuzzing
--parallel-marking,GC/Memory
--ephemeron-fixpoint-iterations,GC/Memory
--trace-concurrent-marking,Trace/Debug
--concurrent-sweeping,GC/Memory
--parallel-compaction,GC/Memory
--parallel-pointer-update,GC/Memory
--parallel-weak-ref-clearing,GC/Memory
--detect-ineffective-gcs-near-heap-limit,GC/Memory
--ineffective-gc-includes-global,GC/Memory
--ineffective-gcs-forces-last-resort,GC/Memory
--ineffective-gc-size-threshold,GC/Memory
--ineffective-gc-mutator-utilization-threshold,GC/Memory
--trace-incremental-marking,Trace/Debug
--trace-stress-marking,Trace/Debug
--trace-stress-scavenge,Trace/Debug
--track-gc-object-stats,GC/Memory
--trace-gc-object-stats,Trace/Debug
--trace-zone-stats,Trace/Debug
--zone-stats-tolerance,Trace/Debug
--trace-zone-type-stats,Trace/Debug
--trace-backing-store,Trace/Debug
--gc-stats,GC/Memory
--trace-gc-object-stats-all-objects,Trace/Debug
--track-detached-contexts,GC/Memory
--trace-detached-contexts,Trace/Debug
--verify-heap,Testing/Fuzzing
--verify-heap-skip-remembered-set,Testing/Fuzzing
--verify-write-barriers,Testing/Fuzzing
--memory-reducer-respects-frozen-state,GC/Memory
--move-object-start,GC/Memory
--memory-reducer,GC/Memory
--memory-reducer-favors-memory,GC/Memory
--memory-reducer-for-small-heaps,GC/Memory
--memory-reducer-gc-count,GC/Memory
--external-memory-accounted-in-global-limit,GC/Memory
--external-memory-max-growing-factor,GC/Memory
--gc-speed-uses-counters,GC/Memory
--heap-growing-percent,GC/Memory
--v8-os-page-size,GC/Memory
--allocation-buffer-parking,GC/Memory
--compact,GC/Memory
--compact-code-space,GC/Memory
--compact-on-every-full-gc,GC/Memory
--compact-with-stack,GC/Memory
--shortcut-strings-with-stack,GC/Memory
--stress-compaction,Testing/Fuzzing
--resize-large-object,GC/Memory
--stress-compaction-random,Testing/Fuzzing
--flush-baseline-code,GC/Memory
--flush-bytecode,GC/Memory
--bytecode-old-age,GC/Memory
--flush-code-based-on-time,GC/Memory
--flush-code-based-on-tab-visibility,GC/Memory
--bytecode-old-time,GC/Memory
--stress-flush-code,Testing/Fuzzing
--trace-flush-code,Trace/Debug
--use-marking-progress-bar,GC/Memory
--stress-per-context-marking-worklist,Testing/Fuzzing
--stress-incremental-marking,Testing/Fuzzing
--memory-pool,GC/Memory
--memory-pool-share-memory-on-teardown,GC/Memory
--memory-pool-release-before-memory-pressure-gcs,GC/Memory
--memory-pool-release-on-malloc-failures,GC/Memory
--large-page-pool,GC/Memory
--max-large-page-pool-size,GC/Memory
--page-pool-timeout,GC/Memory
--managed-zone-memory,GC/Memory
--fuzzer-gc-analysis,Testing/Fuzzing
--stress-marking,Testing/Fuzzing
--stress-scavenge,Testing/Fuzzing
--reclaim-unmodified-wrappers,GC/Memory
--parallel-reclaim-unmodified-wrappers,GC/Memory
--gc-experiment-less-compaction,GC/Memory
--gc-memory-reducer-start-delay-ms,GC/Memory
--concurrent-marking-high-priority-threads,GC/Memory
--disable-abortjs,Generic
--randomize-all-allocations,GC/Memory
--manual-evacuation-candidates-selection,Testing/Fuzzing
--clear-free-memory,GC/Memory
--idle-gc-on-context-disposal,GC/Memory
--trace-context-disposal,Trace/Debug
--cppheap-incremental-marking,GC/Memory
--cppheap-concurrent-marking,GC/Memory
--memory-balancer,GC/Memory
--memory-balancer-c-value,GC/Memory
--trace-memory-balancer,Trace/Debug
--late-heap-limit-check,GC/Memory
--reserve-contiguous-compressed-read-only-space,GC/Memory
--debug-code,Trace/Debug
--trap-on-abort,Trace/Debug
--slow-debug-code,Trace/Debug
--code-comments,Print
--enable-sse3,
--enable-ssse3,
--enable-sse4-1,
--enable-sse4-2,
--enable-sahf,
--enable-avx,
--enable-avx2,
--enable-avx-vnni,
--enable-avx-vnni-int8,
--enable-fma3,
--enable-f16c,
--enable-bmi1,
--enable-bmi2,
--enable-lzcnt,
--enable-popcnt,
--arm-arch,
--force-long-branches,
--mcpu,
--partial-constant-pool,
--sim-arm64-optional-features,
--intel-jcc-erratum-mitigation,
--enable-source-at-csa-bind,Trace/Debug
--enable-armv7,
--enable-vfp3,
--enable-32dregs,
--enable-neon,
--enable-sudiv,
--enable-armv8,
--enable-regexp-unaligned-accesses,Optimization
--script-streaming,Compiler/Tier Manager
--stress-background-compile,Testing/Fuzzing
--concurrent-cache-deserialization,Compiler/Tier Manager
--merge-background-deserialized-script-with-compilation-cache,Compiler/Tier Manager
--verify-code-merge,Testing/Fuzzing
--experimental-embedder-instance-types,Generic
--expose-gc,Generic
--expose-gc-as,Generic
--expose-externalize-string,Generic
--expose-statistics,Generic
--expose-trigger-failure,Generic
--expose-ignition-statistics,Ignition
--stack-trace-limit,Trace/Debug
--builtins-in-stack-traces,Trace/Debug
--experimental-stack-trace-frames,Trace/Debug
--disallow-code-generation-from-strings,Generic
--expose-async-hooks,Generic
--expose-cputracemark-as,Generic
--experimental-report-exceptions-from-callbacks,Generic
--allow-unsafe-function-constructor,Generic
--force-slow-path,Testing/Fuzzing
--test-small-max-function-context-stub-size,Testing/Fuzzing
--inline-new,Optimization
--switch-table-spread-threshold,Optimization
--switch-table-min-cases,Optimization
--stress-lazy-compilation,Testing/Fuzzing
--trace,Trace/Debug
--lazy,Compiler/Tier Manager
--lazy-eval,Compiler/Tier Manager
--lazy-streaming,Compiler/Tier Manager
--max-lazy,Compiler/Tier Manager
--trace-opt,Trace/Debug
--trace-opt-status,Trace/Debug
--trace-opt-verbose,Trace/Debug
--trace-opt-stats,Trace/Debug
--trace-deopt,Trace/Debug
--log-deopt,Trace/Debug
--trace-deopt-verbose,Trace/Debug
--trace-file-names,Trace/Debug
--always-osr,Compiler/Tier Manager
--trace-serializer,Trace/Debug
--external-reference-stats,Print
--compilation-cache,Compiler/Tier Manager
--cache-prototype-transitions,Optimization
--lazy-compile-dispatcher,Compiler/Tier Manager
--lazy-compile-dispatcher-max-threads,Compiler/Tier Manager
--trace-compiler-dispatcher,Trace/Debug
--parallel-compile-tasks-for-eager-toplevel,Compiler/Tier Manager
--parallel-compile-tasks-for-lazy,Compiler/Tier Manager
--cpu-profiler-sampling-interval,Trace/Debug
--trace-side-effect-free-debug-evaluate,Trace/Debug
--hard-abort,Trace/Debug
--log-colour,Print
--expose-inspector-scripts,Trace/Debug
--inspector-live-edit,Trace/Debug
--stack-size,GC/Memory
--max-stack-trace-source-length,Trace/Debug
--clear-exceptions-on-js-entry,Generic
--use-original-message-for-stack-trace,Trace/Debug
--histogram-interval,Trace/Debug
--heap-profiler-trace-objects,Trace/Debug
--heap-profiler-use-embedder-graph,Trace/Debug
--heap-snapshot-on-oom,GC/Memory
--heap-snapshot-path,GC/Memory
--heap-snapshot-on-gc,GC/Memory
--heap-snapshot-string-limit,GC/Memory
--heap-profiler-show-hidden-objects,Trace/Debug
--profile-heap-snapshot,Trace/Debug
