flag,gemini-3-pro-preview-maxthinking-gcli.csv,glm-4.6.csv,gemini-2.5-pro-maxthinking-gcli.csv,kimi-k2-thinking.csv,doubao.csv,merged_comparison.csv,qwen3-max.csv,deepseek-reasoner.csv,same?,final_category
--async-stack-traces,Trace/Debug,Generic,Trace/Debug,Trace/Debug,Debug,Trace/Debug,,Language mode/features,no,"Trace/Debug, Generic, Trace/Debug, Trace/Debug, Debug, Trace/Debug, , Language mode/features"
--baseline-batch-compilation,Sparkplug,Sparkplug,Sparkplug,Sparkplug,Sparkplug,Sparkplug,,Sparkplug,yes,Sparkplug
--baseline-batch-compilation-threshold,Sparkplug,Sparkplug,Sparkplug,Sparkplug,Sparkplug,Sparkplug,,Sparkplug,yes,Sparkplug
--battery-saver-mode,Generic,Generic,Generic,Generic,Compiler/Tier Manager,Generic,,Compiler/Tier Manager,no,"Generic, Generic, Generic, Generic, Compiler/Tier Manager, Generic, , Compiler/Tier Manager"
--better-code-range-allocation,Compiler/Tier Manager,Compiler/Tier Manager,GC/Memory,Compiler/Tier Manager,Optimization,Compiler/Tier Manager,,Optimization,no,"Compiler/Tier Manager, Compiler/Tier Manager, GC/Memory, Compiler/Tier Manager, Optimization, Compiler/Tier Manager, , Optimization"
--black-allocated-pages,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--builtin-subclassing,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Optimization,Language mode/features,,Language mode/features,no,"Language mode/features, Language mode/features, Language mode/features, Language mode/features, Optimization, Language mode/features, , Language mode/features"
--builtins-effects-src,Compiler/Tier Manager,Compiler/Tier Manager,,Compiler/Tier Manager,Data,Compiler/Tier Manager,,Turbofan,no,"Compiler/Tier Manager, Compiler/Tier Manager, , Compiler/Tier Manager, Data, Compiler/Tier Manager, , Turbofan"
--builtins-in-stack-traces,Trace/Debug,Generic,Trace/Debug,Trace/Debug,Debug,Trace/Debug,,Generic,no,"Trace/Debug, Generic, Trace/Debug, Trace/Debug, Debug, Trace/Debug, , Generic"
--bytecode-compiler-ablation-amount,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,,Testing/Fuzzing,yes,Testing/Fuzzing
--bytecode-old-age,Ignition,Compiler/Tier Manager,GC/Memory,Ignition,Optimization,Ignition,,GC/Memory,no,"Ignition, Compiler/Tier Manager, GC/Memory, Ignition, Optimization, Ignition, , GC/Memory"
--bytecode-old-time,Ignition,Compiler/Tier Manager,GC/Memory,Ignition,Optimization,Ignition,,GC/Memory,no,"Ignition, Compiler/Tier Manager, GC/Memory, Ignition, Optimization, Ignition, , GC/Memory"
--cache-property-key-string-adds,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,,Optimization,yes,Optimization
--cache-prototype-transitions,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,,Optimization,yes,Optimization
--cet-compatible,Generic,Generic,,Generic,Data,Generic,,Data,no,"Generic, Generic, , Generic, Data, Generic, , Data"
--check-handle-count,GC/Memory,Trace/Debug,Testing/Fuzzing,GC/Memory,Testing/Fuzzing,GC/Memory,,Trace/Debug,no,"GC/Memory, Trace/Debug, Testing/Fuzzing, GC/Memory, Testing/Fuzzing, GC/Memory, , Trace/Debug"
--clear-exceptions-on-js-entry,Generic,Generic,Generic,Generic,Debug,Generic,,Generic,no,"Generic, Generic, Generic, Generic, Debug, Generic, , Generic"
--clear-free-memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--clone-object-sidestep-transitions,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,,Optimization,yes,Optimization
--code-comments,Trace/Debug,Print,Print,Trace/Debug,Print,Trace/Debug,,Generic,no,"Trace/Debug, Print, Print, Trace/Debug, Print, Trace/Debug, , Generic"
--code-stats,Trace/Debug,Print,Print,Trace/Debug,Print,Trace/Debug,,Trace/Debug,no,"Trace/Debug, Print, Print, Trace/Debug, Print, Trace/Debug, , Trace/Debug"
--compact,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--compact-code-space,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--compact-on-every-full-gc,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--compact-with-stack,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--compilation-cache,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,,Compiler/Tier Manager,yes,Compiler/Tier Manager
--concurrent-array-buffer-sweeping,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--concurrent-builtin-generation,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,,Compiler/Tier Manager,yes,Compiler/Tier Manager
--concurrent-cache-deserialization,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,,Ignition,no,"Compiler/Tier Manager, Compiler/Tier Manager, Compiler/Tier Manager, Compiler/Tier Manager, Compiler/Tier Manager, Compiler/Tier Manager, , Ignition"
--concurrent-maglev-high-priority-threads,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,,Maglev,yes,Maglev
--concurrent-maglev-max-threads,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,,Maglev,yes,Maglev
--concurrent-marking,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--concurrent-marking-high-priority-threads,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--concurrent-marking-max-worker-num,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--concurrent-minor-ms-marking,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--concurrent-osr,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,,Compiler/Tier Manager,yes,Compiler/Tier Manager
--concurrent-recompilation,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,,Compiler/Tier Manager,yes,Compiler/Tier Manager
--concurrent-recompilation-delay,Compiler/Tier Manager,Testing/Fuzzing,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,,Compiler/Tier Manager,no,"Compiler/Tier Manager, Testing/Fuzzing, Compiler/Tier Manager, Compiler/Tier Manager, Compiler/Tier Manager, Compiler/Tier Manager, , Compiler/Tier Manager"
--concurrent-recompilation-front-running,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,,Compiler/Tier Manager,yes,Compiler/Tier Manager
--concurrent-recompilation-queue-length,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,,Compiler/Tier Manager,yes,Compiler/Tier Manager
--concurrent-sparkplug,Sparkplug,Sparkplug,Sparkplug,Sparkplug,Sparkplug,Sparkplug,,Sparkplug,yes,Sparkplug
--concurrent-sparkplug-high-priority-threads,Sparkplug,Sparkplug,Sparkplug,Sparkplug,Sparkplug,Sparkplug,,Sparkplug,yes,Sparkplug
--concurrent-sparkplug-max-threads,Sparkplug,Sparkplug,Sparkplug,Sparkplug,Sparkplug,Sparkplug,,Sparkplug,yes,Sparkplug
--concurrent-sweeping,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--concurrent-turbo-tracing,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,,Turbofan,yes,Turbofan
--concurrent-turbofan-max-threads,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,,Turbofan,yes,Turbofan
--conservative-stack-scanning,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--correctness-fuzzer-suppressions,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,,Testing/Fuzzing,yes,Testing/Fuzzing
--cppgc-random-gc-interval,GC/Memory,Testing/Fuzzing,GC/Memory,GC/Memory,Testing/Fuzzing,GC/Memory,,GC/Memory,no,"GC/Memory, Testing/Fuzzing, GC/Memory, GC/Memory, Testing/Fuzzing, GC/Memory, , GC/Memory"
--cppgc-young-generation,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--cppheap-concurrent-marking,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--cppheap-incremental-marking,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--cpu-profiler-sampling-interval,Trace/Debug,Print,Trace/Debug,Trace/Debug,Debug,Trace/Debug,,Generic,no,"Trace/Debug, Print, Trace/Debug, Trace/Debug, Debug, Trace/Debug, , Generic"
--csa-trap-on-node,Trace/Debug,Turbofan,Trace/Debug,Trace/Debug,Debug,Trace/Debug,,Turbofan,no,"Trace/Debug, Turbofan, Trace/Debug, Trace/Debug, Debug, Trace/Debug, , Turbofan"
--debug-code,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Debug,Trace/Debug,,Generic,no,"Trace/Debug, Trace/Debug, Trace/Debug, Trace/Debug, Debug, Trace/Debug, , Generic"
--decommit-pooled-pages,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--deduplicate-heap-number-requests,Optimization,Data,Optimization,Optimization,Optimization,Optimization,,Optimization,no,"Optimization, Data, Optimization, Optimization, Optimization, Optimization, , Optimization"
--default-to-experimental-regexp-engine,Language mode/features,Language mode/features,Optimization,Language mode/features,Optimization,Language mode/features,,Optimization,no,"Language mode/features, Language mode/features, Optimization, Language mode/features, Optimization, Language mode/features, , Optimization"
--deopt-every-n-times,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,,Testing/Fuzzing,yes,Testing/Fuzzing
--detailed-error-stack-trace,Trace/Debug,Print,Trace/Debug,Trace/Debug,Debug,Trace/Debug,,Language mode/features,no,"Trace/Debug, Print, Trace/Debug, Trace/Debug, Debug, Trace/Debug, , Language mode/features"
--detailed-line-info,Trace/Debug,Print,Trace/Debug,Trace/Debug,Debug,Trace/Debug,,Generic,no,"Trace/Debug, Print, Trace/Debug, Trace/Debug, Debug, Trace/Debug, , Generic"
--detect-ineffective-gcs-near-heap-limit,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--dict-property-const-tracking,Data,Optimization,Optimization,Data,Optimization,Data,,Optimization,no,"Data, Optimization, Optimization, Data, Optimization, Data, , Optimization"
--direct-handle,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--disable-abortjs,Generic,Generic,Generic,Generic,Generic,Generic,,Generic,yes,Generic
--disable-optimizing-compilers,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,,Compiler/Tier Manager,yes,Compiler/Tier Manager
--disable-write-barriers,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--disallow-code-generation-from-strings,Generic,Generic,Generic,Generic,Generic,Generic,,Language mode/features,no,"Generic, Generic, Generic, Generic, Generic, Generic, , Language mode/features"
--disallow-unsafe-flags,Generic,Generic,Generic,Generic,Generic,Generic,,Generic,yes,Generic
--double-string-cache-size,Data,Data,Data,Data,Data,Data,,Data,yes,Data
--dump-allocations-digest-at-alloc,GC/Memory,Testing/Fuzzing,Trace/Debug,GC/Memory,Trace/Debug,GC/Memory,,Trace/Debug,no,"GC/Memory, Testing/Fuzzing, Trace/Debug, GC/Memory, Trace/Debug, GC/Memory, , Trace/Debug"
--dump-builtins-hashes-to-file,Compiler/Tier Manager,Compiler/Tier Manager,,Compiler/Tier Manager,Data,Compiler/Tier Manager,,Turbofan,no,"Compiler/Tier Manager, Compiler/Tier Manager, , Compiler/Tier Manager, Data, Compiler/Tier Manager, , Turbofan"
--dump-wasm-module,Wasm,Wasm,Wasm,Wasm,Print,Wasm,,Wasm,no,"Wasm, Wasm, Wasm, Wasm, Print, Wasm, , Wasm"
--dump-wasm-module-path,Wasm,Wasm,Wasm,Wasm,Data,Wasm,,Wasm,no,"Wasm, Wasm, Wasm, Wasm, Data, Wasm, , Wasm"
--efficiency-mode,Generic,Generic,Generic,Generic,Compiler/Tier Manager,Generic,,Compiler/Tier Manager,no,"Generic, Generic, Generic, Generic, Compiler/Tier Manager, Generic, , Compiler/Tier Manager"
--efficiency-mode-delay-turbofan-multiply,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,,Compiler/Tier Manager,yes,Compiler/Tier Manager
--efficiency-mode-disable-turbofan,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,,Compiler/Tier Manager,yes,Compiler/Tier Manager
--embedded-src,Compiler/Tier Manager,Compiler/Tier Manager,,Compiler/Tier Manager,Data,Compiler/Tier Manager,,Generic,no,"Compiler/Tier Manager, Compiler/Tier Manager, , Compiler/Tier Manager, Data, Compiler/Tier Manager, , Generic"
--embedded-variant,Compiler/Tier Manager,Compiler/Tier Manager,,Compiler/Tier Manager,Data,Compiler/Tier Manager,,Generic,no,"Compiler/Tier Manager, Compiler/Tier Manager, , Compiler/Tier Manager, Data, Compiler/Tier Manager, , Generic"
--empty-context-extension-dep,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,,Optimization,yes,Optimization
--enable-32dregs,Generic,Generic,,Generic,Data,Generic,,Data,no,"Generic, Generic, , Generic, Data, Generic, , Data"
--enable-allocation-folding,GC/Memory,GC/Memory,Optimization,GC/Memory,Optimization,GC/Memory,,GC/Memory,no,"GC/Memory, GC/Memory, Optimization, GC/Memory, Optimization, GC/Memory, , GC/Memory"
--enable-armv7,Generic,Generic,,Generic,Data,Generic,,Data,no,"Generic, Generic, , Generic, Data, Generic, , Data"
--enable-armv8,Generic,Generic,,Generic,Data,Generic,,Data,no,"Generic, Generic, , Generic, Data, Generic, , Data"
--enable-avx,Generic,Generic,,Generic,Data,Generic,,Data,no,"Generic, Generic, , Generic, Data, Generic, , Data"
--enable-avx-vnni,Generic,Generic,,Generic,Data,Generic,,Data,no,"Generic, Generic, , Generic, Data, Generic, , Data"
--enable-avx-vnni-int8,Generic,Generic,,Generic,Data,Generic,,Data,no,"Generic, Generic, , Generic, Data, Generic, , Data"
--enable-avx2,Generic,Generic,,Generic,Data,Generic,,Data,no,"Generic, Generic, , Generic, Data, Generic, , Data"
--enable-bmi1,Generic,Generic,,Generic,Data,Generic,,Data,no,"Generic, Generic, , Generic, Data, Generic, , Data"
--enable-bmi2,Generic,Generic,,Generic,Data,Generic,,Data,no,"Generic, Generic, , Generic, Data, Generic, , Data"
--enable-bytecode-compiler-ablation,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,,Testing/Fuzzing,yes,Testing/Fuzzing
--enable-enumerated-keyed-access-bytecode,Language mode/features,Ignition,Ignition,Language mode/features,Optimization,Language mode/features,,Ignition,no,"Language mode/features, Ignition, Ignition, Language mode/features, Optimization, Language mode/features, , Ignition"
--enable-etw-by-custom-filter-only,Trace/Debug,Print,Trace/Debug,Trace/Debug,Debug,Trace/Debug,,Generic,no,"Trace/Debug, Print, Trace/Debug, Trace/Debug, Debug, Trace/Debug, , Generic"
--enable-etw-stack-walking,Trace/Debug,Print,Trace/Debug,Trace/Debug,Debug,Trace/Debug,,Generic,no,"Trace/Debug, Print, Trace/Debug, Trace/Debug, Debug, Trace/Debug, , Generic"
--enable-experimental-regexp-engine,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Optimization,Language mode/features,,Optimization,no,"Language mode/features, Language mode/features, Language mode/features, Language mode/features, Optimization, Language mode/features, , Optimization"
--enable-experimental-regexp-engine-on-excessive-backtracks,Language mode/features,Language mode/features,Optimization,Language mode/features,Optimization,Language mode/features,,Optimization,no,"Language mode/features, Language mode/features, Optimization, Language mode/features, Optimization, Language mode/features, , Optimization"
--enable-f16c,Generic,Generic,,Generic,Data,Generic,,Data,no,"Generic, Generic, , Generic, Data, Generic, , Data"
--enable-fma3,Generic,Generic,,Generic,Data,Generic,,Data,no,"Generic, Generic, , Generic, Data, Generic, , Data"
--enable-lazy-source-positions,Compiler/Tier Manager,Compiler/Tier Manager,Ignition,Compiler/Tier Manager,Ignition,Compiler/Tier Manager,,Ignition,no,"Compiler/Tier Manager, Compiler/Tier Manager, Ignition, Compiler/Tier Manager, Ignition, Compiler/Tier Manager, , Ignition"
--enable-lzcnt,Generic,Generic,,Generic,Data,Generic,,Data,no,"Generic, Generic, , Generic, Data, Generic, , Data"
--enable-neon,Generic,Generic,,Generic,Data,Generic,,Data,no,"Generic, Generic, , Generic, Data, Generic, , Data"
--enable-parser-ablation,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,,Testing/Fuzzing,yes,Testing/Fuzzing
--enable-popcnt,Generic,Generic,,Generic,Data,Generic,,Data,no,"Generic, Generic, , Generic, Data, Generic, , Data"
--enable-preparser-ablation,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,,Testing/Fuzzing,yes,Testing/Fuzzing
--enable-regexp-unaligned-accesses,Generic,Optimization,Optimization,Generic,Optimization,Generic,,Optimization,no,"Generic, Optimization, Optimization, Generic, Optimization, Generic, , Optimization"
--enable-sahf,Generic,Generic,,Generic,Data,Generic,,Data,no,"Generic, Generic, , Generic, Data, Generic, , Data"
--enable-sharedarraybuffer-per-context,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Data,Language mode/features,,Language mode/features,no,"Language mode/features, Language mode/features, Language mode/features, Language mode/features, Data, Language mode/features, , Language mode/features"
--enable-slow-asserts,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,,Generic,no,"Testing/Fuzzing, Testing/Fuzzing, Testing/Fuzzing, Testing/Fuzzing, Testing/Fuzzing, Testing/Fuzzing, , Generic"
--enable-source-at-csa-bind,Trace/Debug,Compiler/Tier Manager,Trace/Debug,Trace/Debug,Data,Trace/Debug,,Data,no,"Trace/Debug, Compiler/Tier Manager, Trace/Debug, Trace/Debug, Data, Trace/Debug, , Data"
--enable-sse3,Generic,Generic,,Generic,Data,Generic,,Data,no,"Generic, Generic, , Generic, Data, Generic, , Data"
--enable-sse4-1,Generic,Generic,,Generic,Data,Generic,,Data,no,"Generic, Generic, , Generic, Data, Generic, , Data"
--enable-sse4-2,Generic,Generic,,Generic,Data,Generic,,Data,no,"Generic, Generic, , Generic, Data, Generic, , Data"
--enable-ssse3,Generic,Generic,,Generic,Data,Generic,,Data,no,"Generic, Generic, , Generic, Data, Generic, , Data"
--enable-sudiv,Generic,Generic,,Generic,Data,Generic,,Data,no,"Generic, Generic, , Generic, Data, Generic, , Data"
--enable-testing-opcode-in-wasm,Wasm,Testing/Fuzzing,Wasm,Wasm,Testing/Fuzzing,Wasm,,Wasm,no,"Wasm, Testing/Fuzzing, Wasm, Wasm, Testing/Fuzzing, Wasm, , Wasm"
--enable-unconditional-write-barriers,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--enable-vfp3,Generic,Generic,,Generic,Data,Generic,,Data,no,"Generic, Generic, , Generic, Data, Generic, , Data"
--ephemeron-fixpoint-iterations,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--etw-trace-debug,Trace/Debug,Print,Trace/Debug,Trace/Debug,Debug,Trace/Debug,,Generic,no,"Trace/Debug, Print, Trace/Debug, Trace/Debug, Debug, Trace/Debug, , Generic"
--exit-on-contradictory-flags,Generic,Generic,Generic,Generic,Generic,Generic,,Generic,yes,Generic
--experimental,Generic,Generic,Generic,Generic,Generic,Generic,,Generic,yes,Generic
--experimental-embedder-instance-types,Generic,Generic,Generic,Generic,Generic,Generic,,Language mode/features,no,"Generic, Generic, Generic, Generic, Generic, Generic, , Language mode/features"
--experimental-flush-embedded-blob-icache,Generic,Testing/Fuzzing,Generic,Generic,Testing/Fuzzing,Generic,,Generic,no,"Generic, Testing/Fuzzing, Generic, Generic, Testing/Fuzzing, Generic, , Generic"
--experimental-fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,,Testing/Fuzzing,yes,Testing/Fuzzing
--experimental-regexp-engine-capture-group-opt,Optimization,Language mode/features,Optimization,Optimization,Optimization,Optimization,,Optimization,no,"Optimization, Language mode/features, Optimization, Optimization, Optimization, Optimization, , Optimization"
--experimental-regexp-engine-capture-group-opt-max-memory-usage,GC/Memory,Language mode/features,Optimization,GC/Memory,Optimization,GC/Memory,,Optimization,no,"GC/Memory, Language mode/features, Optimization, GC/Memory, Optimization, GC/Memory, , Optimization"
--experimental-report-exceptions-from-callbacks,Generic,Generic,Generic,Generic,Generic,Generic,,Generic,yes,Generic
--experimental-stack-trace-frames,Trace/Debug,Generic,Trace/Debug,Trace/Debug,Debug,Trace/Debug,,Generic,no,"Trace/Debug, Generic, Trace/Debug, Trace/Debug, Debug, Trace/Debug, , Generic"
--experimental-wasm-assume-ref-cast-succeeds,Wasm,Testing/Fuzzing,Wasm,Wasm,Testing/Fuzzing,Wasm,,Wasm,no,"Wasm, Testing/Fuzzing, Wasm, Wasm, Testing/Fuzzing, Wasm, , Wasm"
--experimental-wasm-branch-hinting,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--experimental-wasm-compilation-hints,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--experimental-wasm-custom-descriptors,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
